text,category,confidence_score,offset,length
Rachel Merton,Person,1.0,6,13
Laura Bennett,Person,1.0,24,13
Bennett,Person,0.63,70,7
Laura,Person,1.0,122,5
"7 Brookside Lane, Taunton",Address,0.98,31,25
next Thursday,DateTime,0.99,57,13
Rachel Merton,Person,0.99,9,13
Somerset Council,Organization,0.91,42,16
Laura Bennett,Person,1.0,65,13
Rachel Merton,Person,1.0,83,13
Rachel,Person,1.0,181,6
Liam,Person,1.0,2,4
(13),Quantity,0.76,7,4
last Monday,DateTime,1.0,80,11
Ava,Person,1.0,2,3
(11),Quantity,0.85,6,4
Mia,Person,1.0,2,3
(7),Quantity,0.91,6,3
Jack,Person,1.0,2,4
(7),Quantity,0.86,7,3
Helen Morris,Person,1.0,47,12
last Friday,DateTime,1.0,89,11
Morris,Person,0.97,146,6
helen.morris@somersetgen.nhs.uk,Email,0.8,187,31
"18 Willow Grove, Taunton",Address,0.96,10,24
Laura Bennett,Person,1.0,52,13
Rachel Merton,Person,1.0,72,13
Laura Bennett,Person,1.0,90,13
Laura,Person,1.0,188,5
Bennett,Person,1.0,69,7
"7 Brookside Lane, Taunton",Address,0.97,37,25
next Thursday,DateTime,0.99,63,13
Rachel Merton,Person,0.99,9,13
Somerset Council,Organization,0.91,42,16
Laura Bennett,Person,1.0,6,13
Rachel Merton,Person,1.0,24,13
Bennett,Person,0.7,70,7
Rachel,Person,1.0,122,6
Liam,Person,0.99,0,4
(13),Quantity,0.79,5,4
Ava,Person,1.0,11,3
(11),Quantity,0.8,15,4
Mia,Person,1.0,31,3
Jack,Person,1.0,39,4
(7),Quantity,0.78,44,3
Westfield Primary,Organization,0.99,55,17
Taunton Central Secondary,Organization,1.0,77,25
"18 Willow Grove, Taunton",Address,0.91,10,24
Laura Bennett,Person,1.0,55,13
Rachel Merton,Person,1.0,6,13
Laura Bennett,Person,1.0,24,13
Bennett,Person,0.84,64,7
Bennett,Person,1.0,118,7
Liam,Person,1.0,34,4
(13),Quantity,0.92,39,4
Ava,Person,1.0,45,3
(11),Quantity,0.9,49,4
Mia,Person,1.0,55,3
(7),Quantity,0.89,59,3
Jack,Person,1.0,68,4
(7),Quantity,0.86,73,3
Westfield Primary,Organization,1.0,85,17
Taunton Central Secondary,Organization,0.94,107,25
Rachel Merton,Person,1.0,11,13
Somerset Council,Organization,0.81,44,16
